epoch,train_loss,val_loss,cumulative_time_seconds
1,12659.362676137063,4779.3149340717155,309.03320218299996
2,5678.530207901435,4560.156923702297,608.2403427009995
3,3187.289450345572,1275.8291108154795,900.2870948839991
4,1067.7037482620508,885.991246179741,1185.2767340719984
5,884.2753689375128,617.677447680905,1455.2369917689994
6,562.3987111526529,743.4899494453155,1743.574806744
7,453.43983635303124,480.7600868476966,2038.7608488139995
8,391.4397475746875,427.2750793244993,2323.0526978039998
9,318.0516706086329,209.17184609537904,2607.830101722
10,227.1479476696915,301.8850474079244,2901.0826706219996
11,201.46919706534925,204.78773369373488,3186.9738977179986
12,159.96505634654486,202.03762063193383,3513.1235454159996
13,129.56391178119577,957.3500942261459,3861.3337898519985
14,375.3376316559501,453.34077307432955,4207.594717636999
15,208.94268967780036,286.1454657396937,4584.745004410999
16,130.78153467799078,203.303057700805,4986.686388475
17,106.72253074791682,347.36850032318137,5360.2328772619985
18,84.36800456610577,304.05004833292173,5743.399749944998
19,91.16371786890912,206.5376998950376,6077.602738111
20,79.35930976777449,223.45993551719937,6411.146698352
21,78.13626871392977,219.30317122474577,6790.403708572001
22,76.13086079703959,231.6777124763333,7132.702601301
23,63.764251471392825,171.48720963651533,7565.042907349998
24,65.578027105025,148.83576646980856,7993.458596616998
25,67.78699263102229,274.4648759697734,8423.256912718
26,69.3349444277228,337.64069469168953,8833.201807081
27,75.30612411201984,154.22255163850136,9266.232050432998
28,70.27874143918687,160.4564251712625,9643.996884483
29,79.38384045204548,217.8325598103005,10000.207401851
30,57.84745087455104,224.7408560850949,10363.930962127
31,45.41753111367681,209.53450032176883,10769.818003264998
32,42.600458500631945,203.25271933226725,11168.513000351999
33,47.514329539059716,258.0651650574875,11547.695310411
34,44.26554903930997,355.3745651354652,11933.100852563999
35,194.50429396976202,634.8842006324563,12285.216984332
36,169.01435614483373,225.79735676101646,12650.509648218998
37,162.5080429305277,330.81790711946115,13037.959975377998
38,75.53229453766104,172.40535225653565,13398.297634187998
39,52.90831407572404,158.16725210441277,13738.690040425001
40,54.887283727827466,201.30452924552515,14052.686760328997
41,40.12122810792671,192.10599054142784,14401.27702726
42,37.9637873466948,231.33815125381523,14744.966659538
43,46.88974328605016,228.76153879445826,15085.098683617998
44,37.09567054537104,243.25176174069412,15411.15676623
45,44.241694914492086,235.81645671197538,15737.135900518999
46,44.363567005129376,240.7377891724602,16031.421824104
47,44.348601435225724,274.3329374545078,16331.656092369998
48,54.843579258465525,234.78184051539753,16640.599507504998
49,30.984231286338687,216.40789729248445,16972.94865641
